057,4
058,4
061,4
062,4
063,4
064,4
065,4
066,4
067,4
096,2
097,2
098,2
099,2
100,2
101,2
113,4
114,4
116,4
151,2
151,4
152,4
153,4
157,4
158,4
160,2
160,4
161,2
161,4
161,5
162,2
162,5
163,2
163,4
163,5
195,2
196,2
197,2
203,2
204,2
205,2
206,2
207,2
213,2
214,2
215,2
216,2
217,2
218,2
227,4
235,5
238,2
239,2
240,2
246,2
249,2
250,2
252,2
253,3
254,3
255,3
256,3
257,3
258,3
286,2
287,2
288,2
298,3
298,4
298,5
299,3
314,3
315,3
316,3
320,3
320,4
320,5
320,6
320,7
322,3
322,4
322,5
323,3
323,4
323,5
323,6
323,7
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,2
351,2
353,2
354,2
355,2
394,4
397,4
398,4
399,4
400,4
405,2
416,2
433,2
445,6
449,3
449,4
449,5
449,6
449,7
450,3
450,4
450,5
450,6
450,7
451,3
451,4
451,5
451,6
451,7
452,3
452,4
452,5
452,6
452,7
453,3
453,4
453,5
453,6
453,7
460,4
461,4
463,5
