102,2
103,2
104,2
108,2
111,2
112,2
113,2
117,2
118,2
120,2
121,2
127,2
128,2
129,2
130,2
133,2
135,2
136,2
138,2
139,2
142,2
144,2
147,2
150,2
151,2
152,2
153,2
154,2
155,2
158,2
159,2
161,2
162,2
163,2
164,2
165,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
243,2
243,4
243,5
244,2
244,4
244,5
245,2
245,4
245,5
246,4
247,4
248,4
295,2
295,3
295,4
295,5
296,2
296,3
296,4
296,5
297,2
297,3
297,4
297,5
298,2
298,3
298,4
298,5
299,2
299,3
299,4
299,5
302,2
302,3
302,4
302,5
308,2
308,4
308,5
309,2
309,4
309,5
310,2
310,4
310,5
311,2
311,4
311,5
325,2
325,3
325,4
325,5
331,2
331,3
331,4
331,5
332,2
332,3
332,4
332,5
335,2
335,3
335,4
335,5
373,3
373,4
374,2
374,3
374,4
374,5
375,2
375,3
375,4
375,5
376,2
376,3
376,4
376,5
377,2
377,3
377,4
377,5
378,2
378,3
378,5
392,2
392,3
392,4
392,5
393,3
393,4
393,5
394,2
394,3
394,4
394,5
395,2
395,3
395,4
395,5
396,2
396,3
396,4
396,5
397,2
397,3
397,4
397,5
398,2
398,3
398,4
398,5
399,4
400,4
401,4
402,4
403,4
404,2
404,3
404,4
404,5
